ZnO-2.94-1.45-211.out -722.50786162
ZnO-2.94-1.49-211.out -722.59102924
ZnO-2.94-1.52-211.out -722.66834550
ZnO-2.94-1.55-211.out -722.73992915
ZnO-2.94-1.58-211.out -722.80586745
ZnO-2.94-1.61-211.out -722.86611612
ZnO-2.94-1.65-211.out -722.92067034
ZnO-2.94-1.68-211.out -722.96961403
ZnO-2.94-1.71-211.out -723.01291564
ZnO-2.94-1.74-211.out -723.05063085
ZnO-3.01-1.45-211.out -722.75309870
ZnO-3.01-1.49-211.out -722.81859023
ZnO-3.01-1.52-211.out -722.87885130
ZnO-3.01-1.55-211.out -722.93397680
ZnO-3.01-1.58-211.out -722.98387410
ZnO-3.01-1.61-211.out -723.02868390
ZnO-3.01-1.65-211.out -723.06827046
ZnO-3.01-1.68-211.out -723.10272350
ZnO-3.01-1.71-211.out -723.13203210
ZnO-3.01-1.74-211.out -723.15624407
ZnO-3.01-1.78-211.out -723.17543386
ZnO-3.07-1.45-211.out -722.93749961
ZnO-3.07-1.49-211.out -722.98794941
ZnO-3.07-1.52-211.out -723.03373151
ZnO-3.07-1.55-211.out -723.07480699
ZnO-3.07-1.58-211.out -723.11113867
ZnO-3.07-1.61-211.out -723.14278878
ZnO-3.07-1.65-211.out -723.16968917
ZnO-3.07-1.68-211.out -723.19186912
ZnO-3.07-1.71-211.out -723.20934010
ZnO-3.07-1.74-211.out -723.22213386
ZnO-3.07-1.78-211.out -723.23035393
ZnO-3.14-1.45-211.out -723.07158374
ZnO-3.14-1.49-211.out -723.10924083
ZnO-3.14-1.52-211.out -723.14268577
ZnO-3.14-1.55-211.out -723.17183548
ZnO-3.14-1.58-211.out -723.19664340
ZnO-3.14-1.61-211.out -723.21711769
ZnO-3.14-1.65-211.out -723.23323702
ZnO-3.14-1.68-211.out -723.24503985
ZnO-3.14-1.71-211.out -723.25249001
ZnO-3.14-1.74-211.out -723.25567674
ZnO-3.14-1.78-211.out -723.25468447
ZnO-3.20-1.45-211.out -723.16413802
ZnO-3.20-1.49-211.out -723.19089864
ZnO-3.20-1.52-211.out -723.21382626
ZnO-3.20-1.55-211.out -723.23284927
ZnO-3.20-1.58-211.out -723.24785468
ZnO-3.20-1.61-211.out -723.25888686
ZnO-3.20-1.65-211.out -723.26586428
ZnO-3.20-1.68-211.out -723.26885172
ZnO-3.20-1.71-211.out -723.26785750
ZnO-3.20-1.74-211.out -723.26296253
ZnO-3.20-1.78-211.out -723.25423118
ZnO-3.27-1.45-211.out -723.22231306
ZnO-3.27-1.49-211.out -723.23982456
ZnO-3.27-1.52-211.out -723.25383943
ZnO-3.27-1.55-211.out -723.26421039
ZnO-3.27-1.58-211.out -723.27094007
ZnO-3.27-1.61-211.out -723.27394093
ZnO-3.27-1.65-211.out -723.27319223
ZnO-3.27-1.68-211.out -723.26875843
ZnO-3.27-1.71-211.out -723.26066708
ZnO-3.27-1.74-211.out -723.24897408
ZnO-3.27-1.78-211.out -723.23376822
ZnO-3.34-1.45-211.out -723.25218179
ZnO-3.34-1.49-211.out -723.26183455
ZnO-3.34-1.52-211.out -723.26826148
ZnO-3.34-1.55-211.out -723.27135278
ZnO-3.34-1.58-211.out -723.27102216
ZnO-3.34-1.61-211.out -723.26724346
ZnO-3.34-1.65-211.out -723.25999571
ZnO-3.34-1.68-211.out -723.24932612
ZnO-3.34-1.71-211.out -723.23524990
ZnO-3.34-1.74-211.out -723.21787860
ZnO-3.34-1.78-211.out -723.19728958
ZnO-3.40-1.45-211.out -723.25880990
ZnO-3.40-1.49-211.out -723.26176940
ZnO-3.40-1.52-211.out -723.26175112
ZnO-3.40-1.55-211.out -723.25866478
ZnO-3.40-1.58-211.out -723.25240873
ZnO-3.40-1.61-211.out -723.24289533
ZnO-3.40-1.65-211.out -723.23018331
ZnO-3.40-1.68-211.out -723.21426523
ZnO-3.40-1.71-211.out -723.19521557
ZnO-3.40-1.74-211.out -723.17313202
ZnO-3.40-1.78-211.out -723.14804808
ZnO-3.47-1.45-211.out -723.24634882
ZnO-3.47-1.49-211.out -723.24366187
ZnO-3.47-1.52-211.out -723.23821254
ZnO-3.47-1.55-211.out -723.22989732
ZnO-3.47-1.58-211.out -723.21861503
ZnO-3.47-1.61-211.out -723.20431393
ZnO-3.47-1.65-211.out -723.18702690
ZnO-3.47-1.68-211.out -723.16674064
ZnO-3.47-1.71-211.out -723.14356805
ZnO-3.47-1.74-211.out -723.11754714
ZnO-3.47-1.78-211.out -723.08883837
ZnO-3.53-1.45-211.out -723.21838317
ZnO-3.53-1.49-211.out -723.21091077
ZnO-3.53-1.52-211.out -723.20087738
ZnO-3.53-1.55-211.out -723.18814366
ZnO-3.53-1.58-211.out -723.17267264
ZnO-3.53-1.61-211.out -723.15436219
ZnO-3.53-1.65-211.out -723.13325014
ZnO-3.53-1.68-211.out -723.10936485
ZnO-3.53-1.71-211.out -723.08277524
ZnO-3.53-1.74-211.out -723.05358459
ZnO-3.53-1.78-211.out -723.02188723
ZnO-3.60-1.45-211.out -723.17786201
ZnO-3.60-1.49-211.out -723.16636188
ZnO-3.60-1.52-211.out -723.15250204
ZnO-3.60-1.55-211.out -723.13609004
ZnO-3.60-1.58-211.out -723.11710921
ZnO-3.60-1.61-211.out -723.09546005
ZnO-3.60-1.65-211.out -723.07119096
ZnO-3.60-1.68-211.out -723.04435130
ZnO-3.60-1.71-211.out -723.01498527
ZnO-3.60-1.74-211.out -722.98320062
ZnO-3.60-1.78-211.out -722.94916380
